ID,Name,Target Muscle,Duration_Seconds,Posture_Tags,Pain_Keywords,Step1,Step2,Step3,Camera_Angle,Camera_Instruction,Difficulty,Emoji
S11,Seated Spinal Twist,Obliques and Spinal Rotators,30,"spine,lower_back","lower back stiffness,back pain,spine tightness",Sit tall on your chair with feet flat on the floor.,Place your right hand on the back of the chair and your left hand on your right knee then twist gently to the right.,Hold 30 seconds then repeat twisting to the left.,side,Sit with your side facing the camera so it can see the full rotation of your spine.,Easy,🌀
S12,Seated Forward Fold,Lumbar Erectors,30,"lower_back,spine","lower back pain,tight back,sitting pain",Sit at the edge of your chair with feet hip-width apart and flat on the floor.,Lean your chest slowly forward toward your thighs and let your hands hang toward the floor.,Hold and breathe deeply for 30 seconds.,side,Sit with your side facing the camera so it can measure how far your upper body folds forward.,Easy,🌿
S13,Cat-Cow at Chair,Erector Spinae,30,"spine,lower_back","back stiffness,morning back pain,posture reset",Sit at the edge of your chair with hands on your knees and feet flat.,Arch your lower back and lift your chest toward the ceiling for the cow position then round your back toward the chair for the cat position.,Alternate slowly between the two positions for 30 seconds.,side,Sit with your side facing the camera so it can see your spine arching and rounding clearly.,Easy,🐱
S14,Standing Back Extension,Lumbar Extensors,20,"lower_back,spine","lower back ache,prolonged sitting pain,lumbar tightness",Stand behind your chair and place your hands on the backrest for light support.,Gently place your hands on your lower back and lean backward a small comfortable amount.,Hold the extension for 20 seconds and breathe steadily.,standing_side,Stand with your side facing the camera so it can see the backward arch in your lower back.,Easy,🔙
S15,Seated Hip Flexor Shift,Hip Flexors,35,"lower_back,spine","hip tightness,lower back tension,sitting soreness",Sit at the front edge of your chair and slide your right foot back so it rests behind the chair leg.,Keep your back straight and gently press your hips forward to feel a stretch in your right hip.,Hold 35 seconds then switch legs.,side,Sit with your side facing the camera so it can confirm your back stays upright while your hip flexes.,Easy,🦵
S16,Wrist Flexor Stretch,Wrist Flexors,25,"wrist,forearm","wrist pain,typing pain,carpal tunnel",Extend your right arm straight in front of you with the palm facing up.,Use your left hand to gently pull your right fingers downward toward the floor.,Hold 25 seconds then switch to the other hand.,front,Hold your arm out toward the camera so it can see the angle of your wrist bend clearly.,Easy,🤲
S17,Wrist Extensor Stretch,Wrist Extensors,25,"wrist,forearm","wrist stiffness,mouse hand pain,forearm tightness",Extend your right arm straight out in front of you with the palm facing down.,Use your left hand to gently press the back of your right hand downward.,Hold 25 seconds then switch hands.,front,Hold your arm straight out toward the camera so it can see the top of your wrist bending downward.,Easy,🖐️
S18,Forearm Pronation Stretch,Forearm Pronators,20,"forearm,wrist","forearm tightness,typing fatigue,inner forearm pain",Hold your right arm out to the side at shoulder height with your palm facing up.,Slowly rotate your forearm so your palm faces down and hold the end position.,Continue alternating slowly for 20 seconds then repeat with the left arm.,front,Face the camera with your arm extended sideways so it can see the rotation of your palm clearly.,Easy,🔃
S19,Prayer Stretch,Finger Flexors,30,"wrist,forearm","finger stiffness,wrist tension,keyboard fatigue",Press your palms together in front of your chest in a prayer position with fingers pointing up.,Slowly lower your joined hands toward your waist while keeping your palms pressed together.,Hold the lowest comfortable position for 30 seconds.,front,Face the camera with your hands centered on your chest so it can track the angle of your wrists.,Easy,🙏
S20,Finger Fan Stretch,Intrinsic Hand Muscles,20,"wrist,forearm","finger pain,stiff fingers,hand fatigue",Hold both hands out in front of you at chest height with palms facing away from you.,Spread all your fingers as wide apart as possible like a fan.,Hold the spread for 5 seconds then relax and repeat the fan motion slowly for 20 seconds total.,front,Hold your hands up facing the camera so it can see all fingers spreading fully and evenly.,Easy,🖐
